,airline,incidents_per_trillion_available_seat_km_85_99,fatal_accidents_per_trillion_available_seat_km_85_99,fatailites_per_trillion_available_seat_km_85_99,incidents_per_trillion_available_seat_km_00_14,fatal_accidents_per_trillion_available_seat_km_00_14,fatailites_per_trillion_available_seat_km_00_14
48,tap - air portugal,0.0,0.0,0.0,0.0,0.0,0.0
0,aer lingus,8.0,0.0,0.0,0.0,0.0,0.0
26,hawaiian airlines,0.0,0.0,0.0,3.0,0.0,0.0
15,cathay pacific*,0.0,0.0,0.0,1.0,0.0,0.0
23,finnair,3.0,0.0,0.0,0.0,0.0,0.0
37,qantas*,1.0,0.0,0.0,3.0,0.0,0.0
54,virgin atlantic,1.0,0.0,0.0,0.0,0.0,0.0
43,southwest airlines,0.0,0.0,0.0,3.0,0.0,0.0
2,aerolineas argentinas,20.0,0.0,0.0,3.0,0.0,0.0
14,british airways*,2.0,0.0,0.0,3.0,0.0,0.0
12,austrian airlines,4.0,0.0,0.0,4.0,0.0,0.0
4,air canada,1.0,0.0,0.0,1.0,0.0,0.0
10,all nippon airways,2.0,1.0,1.0,5.0,0.0,0.0
33,lufthansa*,2.0,0.0,1.0,1.0,0.0,0.0
30,klm*,5.0,1.0,2.0,1.0,0.0,0.0
7,air new zealand*,5.0,0.0,0.0,9.0,2.0,13.0
21,el al,4.0,4.0,15.0,4.0,0.0,0.0
32,lan airlines,4.0,3.0,27.0,0.0,0.0,0.0
46,taca,15.0,5.0,15.0,5.0,5.0,15.0
41,singapore airlines,1.0,1.0,3.0,1.0,1.0,46.0
17,condor,6.0,3.0,49.0,0.0,0.0,0.0
44,sri lankan / airlanka,8.0,4.0,55.0,16.0,0.0,0.0
51,united / continental*,3.0,1.0,57.0,3.0,0.0,20.0
19,delta / northwest*,5.0,2.0,80.0,5.0,0.0,10.0
9,alitalia,13.0,4.0,92.0,8.0,0.0,0.0
50,turkish airlines,5.0,2.0,42.0,5.0,1.0,57.0
18,copa,7.0,2.0,109.0,0.0,0.0,0.0
8,alaska airlines*,7.0,0.0,0.0,7.0,1.0,121.0
11,american*,5.0,1.0,25.0,4.0,1.0,106.0
52,us airways / america west*,8.0,4.0,117.0,6.0,1.0,12.0
3,aeromexico*,6.0,2.0,137.0,11.0,0.0,0.0
27,iberia,4.0,1.0,162.0,6.0,0.0,0.0
5,air france,6.0,2.0,34.0,3.0,1.0,149.0
39,sas*,9.0,0.0,0.0,12.0,2.0,214.0
38,royal air maroc,22.0,13.0,221.0,13.0,0.0,0.0
1,aeroflot*,81.0,15.0,137.0,7.0,1.0,97.0
49,thai airways,6.0,3.0,232.0,2.0,1.0,1.0
36,philippine airlines,22.0,12.0,230.0,6.0,3.0,3.0
47,tam,7.0,3.0,83.0,6.0,2.0,165.0
55,xiamen airlines,27.0,3.0,244.0,6.0,0.0,0.0
42,south african,4.0,2.0,313.0,2.0,0.0,0.0
31,korean air,9.0,4.0,314.0,1.0,0.0,0.0
53,vietnam airlines,14.0,6.0,351.0,2.0,0.0,0.0
45,swiss*,3.0,2.0,370.0,5.0,0.0,0.0
28,japan airlines,2.0,1.0,423.0,0.0,0.0,0.0
40,saudi arabian,10.0,3.0,467.0,17.0,0.0,0.0
24,garuda indonesia,21.0,6.0,543.0,9.0,4.0,48.0
25,gulf air,4.0,0.0,0.0,13.0,4.0,629.0
22,ethiopian airlines,66.0,13.0,438.0,14.0,5.0,250.0
20,egyptair,18.0,7.0,648.0,10.0,2.0,33.0
34,malaysia airlines,4.0,1.0,42.0,4.0,3.0,685.0
6,air india*,3.0,1.0,485.0,6.0,2.0,241.0
35,pakistan international,29.0,11.0,861.0,38.0,8.0,175.0
13,avianca,16.0,10.0,1043.0,0.0,0.0,0.0
16,china airlines,19.0,9.0,843.0,3.0,2.0,367.0
29,kenya airways,9.0,0.0,0.0,10.0,10.0,1353.0
