,airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,total_fatailites,total_incidents,total_fatal_accidents,trillion_available_seat_km_00_14,trillion_available_seat_km_85_99,total_trillion_available_seat_km,total_fatalities per trillion_available_seat_km,total_incidents per trillion_available_seat_km,total_fatal_accidents per trillion_available_seat_km
0,aer lingus,320906734,2,0,0,0,0,0,0,2,0,0.241963677436,0.25030725252,0.492270929956,0.0,4.0628033838576725,0.0
1,aeroflot*,1197672318,76,14,128,6,1,88,216,82,15,0.903044927772,0.93418440804,1.837229335812,117.5683382524123,44.6324247069343,8.164467934195299
2,aerolineas argentinas,385803648,6,0,0,1,0,0,0,7,0,0.290895950592,0.30092684544,0.5918227960319999,0.0,11.827864771233836,0.0
3,aeromexico*,596871813,3,1,64,5,0,0,64,8,1,0.450041347002,0.46556001414,0.915601361142,69.8994155274899,8.737426940936237,1.0921783676170296
4,air canada,1865253802,2,0,0,2,0,0,0,4,0,1.406401366708,1.45489796556,2.861299332268,0.0,1.3979662857675965,0.0
5,air france,3004002661,14,4,79,6,2,337,416,20,6,2.265018006394,2.34312207558,4.608140081974,90.27503344077967,4.340145838499023,1.3020437515497068
6,air india*,869253552,2,1,329,4,1,158,487,6,2,0.655417178208,0.67801777056,1.3334349487680002,365.2221658431509,4.499657074042927,1.4998856913476424
7,air new zealand*,710174817,3,0,0,5,1,7,7,8,1,0.535471812018,0.55393635726,1.089408169278,6.4255071674735245,7.343436762826886,0.9179295953533607
8,alaska airlines*,965346773,5,0,0,5,1,88,88,10,1,0.727871466842,0.75297048294,1.480841949782,59.42565309751982,6.752915124718162,0.6752915124718162
9,alitalia,698012498,7,2,50,4,0,0,50,11,2,0.526301423492,0.54444974844,1.0707511719320002,46.69618984379252,10.273161765634352,1.8678475937517005
10,all nippon airways,1841234177,3,1,1,7,0,0,1,10,1,1.388290569458,1.43616265806,2.824453227518,0.35405082663689713,3.5405082663689713,0.35405082663689713
11,american*,5228357340,21,5,101,17,3,416,517,38,8,3.94218143436,4.0781187252,8.020300159560001,64.46142784116984,4.737977288132406,0.9974689027647171
12,austrian airlines,358239823,1,0,0,1,0,0,0,2,0,0.270112826542,0.27942706194,0.549539888482,0.0,3.6394082430023813,0.0
13,avianca,396922563,5,3,323,0,0,0,323,5,3,0.299279612502,0.30959959914,0.6088792116420001,530.4828836723577,8.21180934477334,4.927085606864003
14,british airways*,3179760952,4,0,0,6,0,0,0,10,0,2.397539757808,2.48021354256,4.877753300368,0.0,2.05012418304254,0.0
15,cathay pacific*,2582459303,0,0,0,2,0,0,0,2,0,1.947174314462,2.01431825634,3.961492570802,0.0,0.5048602172678319,0.0
16,china airlines,813216487,12,6,535,2,1,225,760,14,7,0.613165231198,0.63430885986,1.247474091058,609.2310898059883,11.222677970110311,5.611338985055156
17,condor,417982610,2,1,16,0,0,0,16,2,1,0.31515888794,0.3260264358,0.64118532374,24.953783886806466,3.1192229858508083,1.5596114929254041
18,copa,550491507,3,1,47,0,0,0,47,3,1,0.415070596278,0.42938337546,0.844453971738,55.65726679367458,3.5525914974685904,1.1841971658228634
19,delta / northwest*,6525658894,24,12,407,24,2,51,458,48,14,4.920346806076,5.09001393732,10.010360743396,45.75259690837318,4.795031990397189,1.39855099719918
20,egyptair,557699891,8,3,282,4,1,14,296,12,4,0.420505717814,0.43500591498,0.855511632794,345.99178860175044,14.026694132503396,4.675564710834466
21,el al,335448023,1,1,4,1,0,0,4,2,1,0.252927809342,0.26164945794,0.5145772672819999,7.773370986884094,3.886685493442047,1.9433427467210236
22,ethiopian airlines,488560643,25,5,167,5,2,92,259,30,7,0.368374724822,0.38107730154,0.749452026362,345.58582923211407,40.029246629202405,9.340157546813893
23,finnair,506464950,1,0,0,0,0,0,0,1,0,0.3818745723,0.395042661,0.7769172333000001,0.0,1.2871383940763461,0.0
24,garuda indonesia,613356665,10,3,260,4,2,22,282,14,5,0.46247092541,0.4784181987,0.94088912411,299.716505137359,14.879542808237678,5.314122431513457
25,gulf air,301379762,1,0,0,3,1,143,143,4,1,0.227240340548,0.23507621436,0.462316554908,309.3118740436554,8.652080392829522,2.1630200982073804
26,hawaiian airlines,493877795,0,0,0,1,0,0,0,1,0,0.37238385743,0.3852246801,0.75760853753,0.0,1.319942886678995,0.0
27,iberia,1173203126,4,1,148,5,0,0,148,9,1,0.884595157004,0.91509843828,1.799693595284,82.23622086994476,5.000851269118262,0.5556501410131403
28,japan airlines,1574217531,3,1,520,0,0,0,520,3,1,1.186960018374,1.22788967418,2.414849692554,215.33431318867557,1.2423133453192823,0.41410444843976074
29,kenya airways,277414794,2,0,0,2,2,283,283,4,2,0.209170754676,0.21638353932,0.425554293996,665.0150262675063,9.39950567162553,4.699752835812765
30,klm*,1874561773,7,1,3,1,0,0,3,8,1,1.413419576842,1.46215818294,2.875577759782,1.043268605689673,2.782049615172461,0.34775620189655765
31,korean air,1734522605,12,5,425,1,0,0,425,13,5,1.30783004417,1.3529276319,2.6607576760700002,159.7289387990171,4.885826363264052,1.8791639858707894
32,lan airlines,1001965891,3,2,21,0,0,0,21,3,2,0.755482281814,0.78153339498,1.537015676794,13.662840475253361,1.9518343536076228,1.3012229024050819
33,lufthansa*,3426529504,6,1,2,3,0,0,2,9,1,2.583603246016,2.67269301312,5.2562962591360005,0.38049605680497706,1.7122322556223968,0.19024802840248853
34,malaysia airlines,1039171244,3,1,34,3,2,537,571,6,3,0.783535117976,0.81055357032,1.594088688296,358.1983889556171,3.7639060135441373,1.8819530067720687
35,pakistan international,348563137,8,3,234,10,2,46,280,18,5,0.262816605298,0.27187924686,0.534695852158,523.6621882700923,33.663997817363075,9.351110504823076
36,philippine airlines,413007158,7,4,74,2,1,1,75,9,5,0.311407397132,0.32214558324,0.6335529803719999,118.37999713293536,14.205599655952243,7.891999808862357
37,qantas*,1917428984,1,0,0,5,0,0,0,6,0,1.445741453936,1.49559460752,2.941336061456,0.0,2.039889313780052,0.0
38,royal air maroc,295705339,5,3,51,3,0,0,51,8,3,0.222961825606,0.23065016442,0.453611990026,112.43089054386944,17.63621812452854,6.6135817966982025
39,sas*,682971852,5,0,0,6,1,110,110,11,1,0.514960776408,0.53271804456,1.0476788209680001,104.9940094220534,10.49940094220534,0.95449099474594
40,saudi arabian,859673901,7,2,313,11,0,0,313,18,2,0.648194121354,0.67054564278,1.318739764134,237.34781380884743,13.6493950433203,1.516599449257811
41,singapore airlines,2376857805,2,2,6,2,1,83,89,4,3,1.79215078497,1.8539490879,3.64609987287,24.40964403148516,1.0970626531004568,0.8227969898253426
42,south african,651502442,2,1,159,1,0,0,159,3,1,0.491232841268,0.50817190476,0.999404746028,159.09470175314272,3.0017868255309947,1.0005956085103316
43,southwest airlines,3276525770,1,0,0,8,0,0,0,9,0,2.47050043058,2.5556901006,5.02619053118,0.0,1.7906205393863308,0.0
44,sri lankan / airlanka,325582976,2,1,14,4,0,0,14,6,1,0.245489563904,0.25395472128,0.499444285184,28.031154655903745,12.01335199538732,2.0022253325645534
45,swiss*,792601299,2,1,229,3,0,0,229,5,1,0.597621379446,0.61822901322,1.215850392666,188.3455410150181,4.112348057096465,0.8224696114192931
46,taca,259373346,3,1,3,1,1,3,6,4,2,0.195567502884,0.20231120988,0.397878712764,15.079972382334699,10.053314921556465,5.026657460778233
47,tam,1509195646,8,3,98,7,2,188,286,15,5,1.137933517084,1.17717260388,2.315106120964,123.5364536468466,6.479184631827619,2.1597282106092064
48,tap - air portugal,619130754,0,0,0,0,0,0,0,0,0,0.466824588516,0.48292198812,0.949746576636,0.0,0.0,0.0
49,thai airways,1702802250,8,4,308,2,1,1,309,10,5,1.2839128965,1.328185755,2.6120986515,118.29568528070578,3.828339329472679,1.9141696647363395
50,turkish airlines,1946098294,8,3,64,8,2,84,148,16,5,1.467358113676,1.51795666932,2.9853147829960003,49.576011495668894,5.359568810342584,1.6748652532320571
51,united / continental*,7139291291,19,8,319,14,2,109,428,33,10,5.383025633414,5.56864720698,10.951672840394,39.080787587205,3.013238295275152,0.913102513719743
52,us airways / america west*,2455687887,16,7,224,11,2,23,247,27,9,1.851588666798,1.91543655186,3.767025218658,65.56897967569051,7.1674593167758855,2.3891531055919617
53,vietnam airlines,625084918,7,3,171,1,0,0,171,8,3,0.471314028172,0.48756623604,0.958880264212,178.3330060928164,8.343064612529423,3.1286492296985333
54,virgin atlantic,1005248585,1,0,0,0,0,0,0,1,0,0.75795743309,0.7840938963,1.54205132939,0.0,0.6484868440764401,0.0
55,xiamen airlines,430462962,9,1,82,2,0,0,82,11,1,0.324569073348,0.33576111036,0.660330183708,124.18029952763851,16.658332863463702,1.5143938966785184
